gen	onset.shape1	onset.shape2	duration.shape1	duration.shape2	lk	prior	post	mean.onset	variance.onset	mean.duration	variance.duration
5780	78.5309397474032	148.961742730206	1.57470972400056	25.3374327728786	-2038.66562207994	-30.4016093380016	-2069.06723141794	125.998747281128	131.793535419451	13.9846761270816	112.738889435401
5790	75.2108047397375	142.663930703096	1.58365113237874	25.4037253975418	-2038.85103902412	-30.4016093380016	-2069.25264836212	125.998747281128	137.58489932733	14.0248758188313	112.738889435401
5800	75.2108047397375	142.663930703096	1.58365113237874	25.4037253975418	-2038.85103902412	-30.4016093380016	-2069.25264836212	125.998747281128	137.58489932733	14.0248758188313	112.738889435401
5810	72.7411353085532	137.979327874962	1.39089662065517	22.3117043173639	-2038.74553578087	-30.4016093380016	-2069.14714511887	125.998747281128	142.234047613509	14.0248758188313	127.730102433768
5820	75.7906896563336	143.763887841479	1.08209482965071	16.5315050968651	-2041.91917299428	-30.4016093380016	-2072.32078233228	125.998747281128	136.536991355334	14.6830869854039	176.950356345565
5830	75.5565632973353	143.319784274558	1.80838500425337	26.6500566038243	-2039.12754135785	-30.4016093380016	-2069.52915069585	125.998747281128	136.958152951635	15.187278606707	115.387135074508
5840	76.1558401716753	144.456525129395	1.25988639302157	22.5494665085131	-2038.69924810977	-30.4016093380016	-2069.10085744777	125.998747281128	135.885280590219	12.6468966821944	115.387135074508
5850	77.2101050198259	146.456311832379	1.23032459653019	22.3002390864475	-2038.6586698254	-30.4016093380016	-2069.0602791634	125.998747281128	134.038094625457	12.4964758083664	115.387135074508
5860	89.2158213925928	169.229405333671	1.4248981841926	23.8379124480944	-2038.65797195333	-30.4016093380016	-2069.05958129133	125.998747281128	116.070196477235	13.480386484932	115.757162468845
5870	76.1732407803975	144.489531547097	1.40700768765319	23.5386124034382	-2038.47293341136	-30.4016093380016	-2068.87454274937	125.998747281128	135.854379718335	13.480386484932	117.172317584886
5880	74.1845686841374	138.237370619249	1.40700768765319	23.5386124034382	-2040.01435068822	-30.4016093380016	-2070.41596002623	127.469731509407	141.868824023814	13.3974185687187	115.734432049061
5890	71.6184690840942	133.455636793074	1.14885664263946	24.5853750472455	-2039.9093265573	-30.4016093380016	-2070.3109358953	127.469731509407	146.92733675089	10.604094580007	90.0099407658468
5900	69.4240928503163	129.366581534178	1.46204248130781	27.5422119237093	-2040.25415218305	-30.4016093380016	-2070.65576152105	127.469731509407	151.548212363425	11.9733932229482	90.0099407658469
5910	69.1513729916988	129.390448661207	1.46204248130781	27.5422119237093	-2040.46506021331	-30.4016093380016	-2070.86666955132	127.128133165291	151.548212363425	11.9906124654658	90.2690181130449
5920	64.2801991933917	120.275902759923	1.46749266443292	27.5902118697651	-2041.03892579308	-30.4016093380016	-2071.44053513108	127.128133165291	162.97069212441	12.0131725905628	90.2690181130449
5930	71.3943544292281	133.587333870927	1.18987498932572	19.8494935170634	-2040.30778748605	-30.4016093380016	-2070.70939682405	127.128133165291	146.810168480479	13.4527699785708	136.984800083043
5940	87.8857452908535	164.444688834641	1.01995889142823	22.8229673531495	-2041.22594319621	-30.4016093380016	-2071.62755253421	127.128133165291	119.370601750356	10.175744500064	93.2650824513228
5950	76.3765462020881	143.210498466497	1.49558943611106	26.0919916025711	-2039.31196825704	-30.4016093380016	-2069.71357759504	126.953934854566	137.002083201503	12.9050524524104	101.633523104346
5960	78.7883642128589	147.732798527291	1.72674639857819	27.7035461758744	-2040.08820920701	-30.4016093380016	-2070.48981854501	126.953934854566	132.826697450444	13.9667380011846	102.846768431432
5970	83.5940236694042	157.355291306524	1.91341247068591	30.6983763097977	-2041.46280679691	-30.4016093380016	-2071.86441613491	126.631688670212	124.75745919	13.985644963692	93.3641564957388
5980	82.6810672510157	157.41920141112	1.30395133027495	20.9203134398367	-2037.72744453963	-30.4016093380016	-2068.12905387764	125.691610903974	124.75745919	14.0408015984121	136.191071446855
5990	86.8683013009426	165.391413940257	1.05004571412375	16.8467065875795	-2038.95832607971	-30.4016093380016	-2069.35993541771	125.691610903974	118.767633058687	14.0408015984121	167.379952497015
6000	97.2873852372406	187.560346757291	1.05004571412375	16.8467065875795	-2038.15351561397	-30.4016093380016	-2068.55512495197	124.66272897084	104.81489522706	14.1011685882443	168.822312444616
6010	91.3038063462883	176.024605212795	1.197225459067	17.9038464069032	-2038.1132603191	-30.4016093380016	-2068.5148696571	124.66272897084	111.658321628391	15.0639661301636	168.822312444616
6020	88.1260330145048	170.248195938228	1.31784846518089	20.268796029921	-2037.96116609721	-30.4016093380016	-2068.36277543522	124.493848247453	115.437591775229	14.6827202822362	146.799241391184
6030	95.5045778556817	186.828425124789	1.07592335103948	16.5479351550901	-2039.79134445336	-30.4016093380016	-2070.19295379136	123.468282309649	105.252497918791	14.7453303139799	179.556786875189
6040	96.4744084654049	186.795534042334	1.22561474928551	18.2762377173698	-2037.84768875429	-30.4016093380016	-2068.24929809229	124.309550028983	105.252497918791	15.1264484233502	166.423119136409
6050	96.4744084654049	186.795534042334	1.22561474928551	18.2762377173698	-2037.84768875429	-30.4016093380016	-2068.24929809229	124.309550028983	105.252497918791	15.1264484233502	166.423119136409
6060	97.6731640079389	189.116586695734	1.52298315355339	20.1852763923716	-2037.97031747785	-30.4016093380016	-2068.37192681585	124.309550028983	103.965208833925	16.8860842920894	166.423119136409
6070	88.917102564746	172.16293857904	1.59874584789954	21.1894181138606	-2037.91576148521	-30.4016093380016	-2068.31737082321	124.309550028983	114.164059962717	16.8860842920894	158.868056814602
6080	88.917102564746	172.16293857904	1.89538136670843	21.9515837602457	-2040.1816551149	-30.4016093380016	-2070.5832644529	124.309550028983	114.164059962717	19.1303250367944	170.584905783382
6090	82.2757542104408	159.303837058366	1.63380624058102	20.5427263733206	-2039.5755508367	-30.4016093380016	-2069.9771601747	124.309550028983	123.34146238632	17.7323284057668	170.584905783382
6100	85.3831750386012	165.320482740092	1.62343142216472	20.4839345684527	-2039.15426010668	-30.4016093380016	-2069.55586944468	124.309550028983	118.87042801133	17.6748527917687	170.584905783382
6110	87.7626215527707	169.9276110906	1.41366606915289	19.2400830200752	-2038.4337697274	-30.4016093380016	-2068.8353790654	124.309550028983	115.660035659012	16.4742933993824	170.584905783382
